Date/Time,Word Count,bg,de,en,es,es-419,es-ES,es-MX,fr,hu,id,it,ja,ko,pl,pt,ru,th,tr,uk,zh-Hans,zh-Hant
2024.09.05-16.00.20,595,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024.09.05-16.06.19,595,457,457,595,0,0,0,0,457,457,0,457,457,457,457,457,457,457,0,457,0,0
2024.09.05-16.33.13,481,466,466,481,466,0,0,0,466,466,0,466,466,466,466,466,466,466,0,466,466,466
2024.09.05-16.38.30,478,466,466,478,466,0,0,0,466,466,0,466,466,466,466,466,466,466,0,466,466,466
2024.09.06-09.04.19,478,478,478,478,478,0,0,0,478,478,0,478,478,478,478,478,478,478,0,478,478,478
2024.09.09-08.32.41,479,476,476,479,476,0,0,0,476,476,0,476,476,476,476,476,476,476,0,476,476,476
2024.09.10-09.08.04,541,479,479,541,479,0,0,0,479,479,0,479,479,479,479,479,479,479,0,479,479,479
2024.09.10-10.04.43,481,479,479,481,479,0,0,0,479,479,0,479,479,479,479,479,479,479,0,479,479,479
2024.09.11-09.55.30,543,481,481,543,481,0,0,0,481,481,0,481,481,481,481,481,481,481,0,481,481,481
2024.09.11-10.03.29,543,503,503,543,503,0,0,0,503,503,0,503,503,503,503,503,503,503,0,503,503,503
2024.09.11-14.45.22,544,543,543,544,543,0,0,0,543,543,0,543,543,543,543,543,543,543,0,543,543,543
2024.09.11-15.39.25,562,544,544,562,544,0,0,0,544,544,0,544,544,544,544,544,544,544,0,544,544,544
2024.09.11-15.58.47,562,559,559,562,559,0,0,0,559,559,0,559,559,559,559,559,559,559,0,559,559,559
2024.09.12-08.01.40,562,562,562,562,562,0,0,0,562,562,0,562,562,562,562,562,562,562,0,562,562,562
2024.09.13-13.29.52,562,500,500,562,500,0,0,0,500,500,0,500,500,500,500,500,500,500,0,500,500,500
2024.09.13-13.31.30,563,500,500,563,500,0,0,0,500,500,0,500,500,500,500,500,500,500,0,500,500,500
2024.09.13-13.38.55,563,551,551,563,551,0,0,0,551,551,0,551,551,551,551,551,551,551,0,551,551,551
2024.09.13-13.42.17,608,528,528,608,528,0,0,0,528,528,0,528,528,528,528,528,528,528,0,528,528,528
2024.09.13-13.43.27,608,607,607,608,607,0,0,0,607,607,0,607,607,607,607,607,607,607,0,607,607,607
2024.09.30-11.00.58,608,607,607,608,607,0,0,0,607,607,0,607,607,607,607,607,607,607,607,607,607,607
2024.09.30-11.01.40,608,607,607,608,607,0,0,0,607,607,607,607,607,607,607,607,607,607,607,607,607,607
2024.09.30-11.02.40,608,607,607,608,607,0,0,607,607,607,607,607,607,607,607,607,607,607,607,607,607,607
2024.10.18-11.32.10,617,607,607,617,607,0,0,607,607,607,607,607,607,607,607,607,607,607,607,607,607,607
2024.10.18-11.36.54,617,617,617,617,617,0,0,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617
